Team-Year,Seed,Off Eff,Avg Scoring Margin,Eff FG%,Off Reb%,FT%,Def Reb%,Block%,Steal Per Poss,Assist TO ratio,Fouls per poss,Def Eff,Opp Eff FG %,Win %,KenPom Rank,Avg Height,Avg Experience,TO %,Adj Efficiency Margin
Binghamton-2009,15,1.01188,2.72414,0.491239,0.305767,0.687316,0.66,0.074655,0.101387,0.930481,0.29422,0.972616,0.465182,0.7241,N/A,N/A,N/A,0.185875,N/A
N Carolina-2009,1,1.15288,17.6552,0.531754,0.390769,0.767905,0.704461,0.0823654,0.105966,1.3886,0.202699,0.927753,0.468585,0.8966,N/A,N/A,N/A,0.169722,N/A
Radford-2009,16,1.0037,2.24138,0.506957,0.346652,0.678129,0.73724,0.0687398,0.0823693,0.851695,0.248033,0.973623,0.468358,0.6207,N/A,N/A,N/A,0.218417,N/A
LSU-2009,8,1.07306,10.0645,0.5038,0.363817,0.719298,0.727273,0.104528,0.108768,1.2626,0.243586,0.930472,0.452487,0.8065,N/A,N/A,N/A,0.172293,N/A
Butler-2009,9,1.04834,9.2069,0.518952,0.306197,0.722311,0.717002,0.0625416,0.0943295,1.03288,0.279237,0.905242,0.439454,0.8621,N/A,N/A,N/A,0.195627,N/A
Illinois-2009,5,1.05277,8.51613,0.52339,0.317554,0.730051,0.751187,0.0656325,0.113196,1.46933,0.235114,0.870867,0.439141,0.7419,N/A,N/A,N/A,0.186401,N/A
W Kentucky-2009,12,1.06897,5.06667,0.520024,0.377562,0.697074,0.708548,0.0591045,0.0827209,1.0202,0.259488,0.994128,0.490746,0.7333,N/A,N/A,N/A,0.194985,N/A
Gonzaga-2009,4,1.12102,17.2333,0.550997,0.302247,0.708402,0.7061,0.0862565,0.106696,1.34731,0.229516,0.875859,0.428407,0.8333,N/A,N/A,N/A,0.158385,N/A
Akron-2009,13,0.973784,5.66667,0.478194,0.304933,0.728086,0.637989,0.0483871,0.113046,0.878345,0.302448,0.889495,0.452957,0.6,N/A,N/A,N/A,0.203781,N/A
Arizona St-2009,6,1.11099,9.8,0.559757,0.297365,0.74055,0.718091,0.0414508,0.0957294,1.33144,0.256342,0.954635,0.46794,0.7333,N/A,N/A,N/A,0.187736,N/A
Temple-2009,11,1.03183,5.43333,0.515116,0.316249,0.703781,0.725431,0.0735033,0.0841194,1.24734,0.259327,0.950698,0.462952,0.6333,N/A,N/A,N/A,0.187153,N/A
Syracuse-2009,3,1.08251,8.46667,0.551311,0.339093,0.643056,0.661333,0.0768057,0.0961929,1.2194,0.205031,0.9678,0.46414,0.7333,N/A,N/A,N/A,0.195547,N/A
Ste F Austin-2009,14,0.947563,5.875,0.477985,0.243742,0.647208,0.738063,0.065587,0.0851326,1.03521,0.274522,0.86058,0.425101,0.7083,N/A,N/A,N/A,0.1752,N/A
Clemson-2009,7,1.09039,11.2667,0.53288,0.38713,0.688136,0.65861,0.104046,0.130828,1.04918,0.247836,0.934684,0.478035,0.7667,N/A,N/A,N/A,0.196703,N/A
Michigan-2009,10,1.0617,9.73333,0.504486,0.407325,0.753564,0.770742,0.0640942,0.0989249,1.41463,0.236805,0.918634,0.468147,0.8333,N/A,N/A,N/A,0.168121,N/A
Oklahoma-2009,2,1.11923,11.7742,0.550691,0.36286,0.742198,0.707252,0.0746269,0.10253,1.09443,0.244377,0.953435,0.457356,0.871,N/A,N/A,N/A,0.167451,N/A
Morgan St-2009,15,0.968701,4.16667,0.469057,0.365245,0.638146,0.690602,0.0585642,0.098827,0.877238,0.275933,0.907545,0.445844,0.6333,N/A,N/A,N/A,0.191294,N/A
TX-San Ant-2011,16,0.995621,-0.703704,0.489913,0.272311,0.719269,0.681818,0.0435931,0.0990353,0.93188,0.284463,1.00563,0.492734,0.5185,N/A,N/A,N/A,0.19333,N/A
Alabama St-2011,16,0.882183,-4.68966,0.438195,0.350636,0.592219,0.678404,0.0913495,0.105801,0.739606,0.327481,0.950702,0.469896,0.4138,N/A,N/A,N/A,0.230244,N/A
Clemson-2011,12,1.00863,7.2,0.497503,0.328556,0.696141,0.71123,0.092686,0.118428,0.984576,0.27318,0.901146,0.449559,0.6667,N/A,N/A,N/A,0.193565,N/A
UAB-2011,12,1.04594,6.96552,0.513337,0.315545,0.724576,0.709251,0.0590452,0.0806584,1.18129,0.247736,0.940141,0.457286,0.7586,N/A,N/A,N/A,0.179124,N/A
NC-Asheville-2011,16,0.99134,3.10345,0.492029,0.307359,0.700441,0.648958,0.0780578,0.123798,0.922727,0.271404,0.948487,0.476644,0.5517,N/A,N/A,N/A,0.209505,N/A
AR Lit Rock-2011,16,0.994012,-1.27273,0.476884,0.268269,0.694482,0.697723,0.046401,0.0845387,0.955263,0.31043,1.0131,0.503569,0.5152,N/A,N/A,N/A,0.172714,N/A
VCU-2011,11,1.06428,4.08824,0.508707,0.308257,0.718973,0.660194,0.0675311,0.126908,1.25781,0.271321,1.00345,0.503782,0.6765,N/A,N/A,N/A,0.168044,N/A
USC-2011,11,1.01238,4.03226,0.499703,0.286299,0.654362,0.737069,0.0548112,0.0893277,1.05731,0.259685,0.951364,0.46285,0.5806,N/A,N/A,N/A,0.170357,N/A
Ohio State-2011,1,1.17648,18.1613,0.568366,0.339708,0.707812,0.743363,0.0557914,0.112533,1.5768,0.217759,0.902215,0.487871,0.9355,N/A,N/A,N/A,0.155403,N/A
Geo Mason-2011,8,1.10151,11.8125,0.535755,0.304671,0.689956,0.708008,0.0610599,0.100905,1.31609,0.25766,0.924104,0.457949,0.8125,N/A,N/A,N/A,0.163326,N/A
Villanova-2011,9,1.06409,7.15625,0.49717,0.33547,0.757979,0.729566,0.0677583,0.0928281,1.16711,0.255163,0.959376,0.46358,0.6563,N/A,N/A,N/A,0.172395,N/A
W Virginia-2011,5,1.05627,5.45161,0.483702,0.387097,0.705714,0.669661,0.0773706,0.0700585,1.25201,0.269456,0.973471,0.455788,0.6452,N/A,N/A,N/A,0.18274,N/A
