Team1,Team2,Score
Kansas-2011,Boston University-2011,19
UNLV-2011,Illinois-2011,-11
Vanderbilt-2011,Richmond-2011,-3
Louisville-2011,Morehead State-2011,-1
Georgetown-2011,VCU-2011,-18
Purdue-2011,Saint Peter's-2011,22
Texas A&M-2011,Florida State-2011,-7
Notre Dame-2011,Akron-2011,13
Kansas-2011,Illinois-2011,14
Richmond-2011,Morehead State-2011,17
VCU-2011,Purdue-2011,18
Florida State-2011,Notre Dame-2011,14
Kansas-2011,Richmond-2011,20
VCU-2011,Florida State-2011,1
Kansas-2011,VCU-2011,-10
Pittsburgh-2011,UNC Asheville-2011,23
Butler-2011,Old Dominion-2011,2
Kansas State-2011,Utah State-2011,5
Wisconsin-2011,Belmont-2011,14
St. John's-2011,Gonzaga-2011,-15
BYU-2011,Wofford-2011,8
UCLA-2011,Michigan State-2011,2
Florida-2011,UC Santa Barbara-2011,28
Pittsburgh-2011,Butler-2011,-1
Kansas State-2011,Wisconsin-2011,-5
Gonzaga-2011,BYU-2011,-22
UCLA-2011,Florida-2011,-8
Butler-2011,Wisconsin-2011,7
BYU-2011,Florida-2011,-9
Butler-2011,Florida-2011,3
Kentucky-2011,Connecticut-2011,-1
VCU-2011,Butler-2011,-8
Connecticut-2011,Butler-2011,12
Mississippi Valley State-2012,Western Kentucky-2012,-1
Lamar-2012,Vermont-2012,-12
BYU-2012,Iona-2012,6
California-2012,South Florida-2012,-11
Kentucky-2012,Western Kentucky-2012,15
Iowa State-2012,Connecticut-2012,13
Wichita State-2012,VCU-2012,-3
Indiana-2012,New Mexico State-2012,13
UNLV-2012,Colorado-2012,-4
Baylor-2012,South Dakota State-2012,8
Notre Dame-2012,Xavier-2012,-4
Duke-2012,Lehigh-2012,-5
Kentucky-2012,Iowa State-2012,16
VCU-2012,Indiana-2012,-2
Colorado-2012,Baylor-2012,-17
Xavier-2012,Lehigh-2012,12
Kentucky-2012,Indiana-2012,12
Baylor-2012,Xavier-2012,5
Kentucky-2012,Baylor-2012,12
Michigan State-2012,Long Island-2012,22
Memphis-2012,Saint Louis-2012,-7
New Mexico-2012,Long Beach State-2012,7
Louisville-2012,Davidson-2012,7
Murray State-2012,Colorado State-2012,17
Marquette-2012,BYU-2012,20
Florida-2012,Virginia-2012,26
Missouri-2012,Norfolk State-2012,-2
Michigan State-2012,Saint Louis-2012,4
New Mexico-2012,Louisville-2012,-3
Murray State-2012,Marquette-2012,-9
Florida-2012,Norfolk State-2012,34
Michigan State-2012,Louisville-2012,-13
Marquette-2012,Florida-2012,-10
Louisville-2012,Florida-2012,4
Syracuse-2012,UNC Asheville-2012,7
Kansas State-2012,Southern Miss-2012,6
