Team1,Team2,Score
Cincinnati-2011,Missouri-2011,0.633928571
Connecticut-2011,Bucknell-2011,0.758928571
Temple-2011,Penn State-2011,0.517857143
San Diego State-2011,Northern Colorado-2011,0.660714286
Duke-2011,Michigan-2011,0.517857143
Arizona-2011,Texas-2011,0.508928571
Cincinnati-2011,Connecticut-2011,0.333333333
Temple-2011,San Diego State-2011,0.393939394
Duke-2011,Arizona-2011,0.257575758
Connecticut-2011,San Diego State-2011,0.5625
Arizona-2011,Connecticut-2011,0.46969697
Kansas-2011,Boston University-2011,0.669642857
UNLV-2011,Illinois-2011,0.333333333
Vanderbilt-2011,Richmond-2011,0.454545455
Louisville-2011,Morehead State-2011,0.484848485
Georgetown-2011,VCU-2011,0.227272727
Purdue-2011,Saint Peter's-2011,0.696428571
Texas A&M-2011,Florida State-2011,0.393939394
Notre Dame-2011,Akron-2011,0.616071429
Kansas-2011,Illinois-2011,0.625
Richmond-2011,Morehead State-2011,0.651785714
VCU-2011,Purdue-2011,0.660714286
Florida State-2011,Notre Dame-2011,0.625
Kansas-2011,Richmond-2011,0.678571429
VCU-2011,Florida State-2011,0.508928571
Kansas-2011,VCU-2011,0.348484848
Pittsburgh-2011,UNC Asheville-2011,0.705357143
Butler-2011,Old Dominion-2011,0.517857143
Kansas State-2011,Utah State-2011,0.544642857
Wisconsin-2011,Belmont-2011,0.625
St. John's-2011,Gonzaga-2011,0.272727273
BYU-2011,Wofford-2011,0.571428571
UCLA-2011,Michigan State-2011,0.517857143
Florida-2011,UC Santa Barbara-2011,0.75
Pittsburgh-2011,Butler-2011,0.484848485
Kansas State-2011,Wisconsin-2011,0.424242424
Gonzaga-2011,BYU-2011,0.166666667
UCLA-2011,Florida-2011,0.378787879
Butler-2011,Wisconsin-2011,0.5625
BYU-2011,Florida-2011,0.363636364
Butler-2011,Florida-2011,0.526785714
Kentucky-2011,Connecticut-2011,0.484848485
VCU-2011,Butler-2011,0.378787879
Connecticut-2011,Butler-2011,0.607142857
Mississippi Valley State-2012,Western Kentucky-2012,0.484848485
Lamar-2012,Vermont-2012,0.318181818
BYU-2012,Iona-2012,0.553571429
California-2012,South Florida-2012,0.333333333
Kentucky-2012,Western Kentucky-2012,0.633928571
