Team-Year,Seed,Off Eff,Avg Scoring Margin,Eff FG%,Off Reb%,FT%,Def Reb%,Block%,Steal Per Poss,Assist TO ratio,Fouls per poss,Def Eff,Opp Eff FG %,Win %,KenPom Rank,Avg Height,Avg Experience,TO %,Adj Efficiency Margin
N Mex State-2012,0.8,0.553623527,0.512450308,0.450062687,0.850652833,0.311555507,0.553574869,0.401922966,0.336731189,0.26114539,0.458792058,0.497486709,0.547222948,0.600397897,N/A,N/A,N/A,0.585285486,N/A
UNLV-2012,0.333333333,0.530429455,0.536122255,0.59359279,0.561003646,0.39194411,0.536754169,0.509651759,0.503282516,0.466156972,0.429877414,0.428301347,0.417459311,0.644734972,N/A,N/A,N/A,0.506520252,N/A
Colorado-2012,0.666666667,0.557620492,0.328511781,0.693525119,0.543831604,0.738605262,0.632073034,0.32744241,0.284579787,0.299615564,0.515094542,0.525872924,0.480286471,0.495807873,N/A,N/A,N/A,0.457726848,N/A
Baylor-2012,0.133333333,0.585482553,0.540856644,0.57682724,0.73205716,0.671597189,0.388858871,0.505125154,0.488748075,0.332077654,0.492545788,0.466640677,0.459634202,0.733551229,N/A,N/A,N/A,0.590559057,N/A
S Dakota St-2012,0.866666667,0.716186253,0.540856644,0.622045964,0.470408054,0.578286238,0.592798109,0.135215299,0.348749598,0.518864569,0.40507,0.615092166,0.652859114,0.689214154,N/A,N/A,N/A,0.209729261,N/A
Notre Dame-2012,0.4,0.470066519,0.396013114,0.383561788,0.477147511,0.489646308,0.442718,0.334373453,0.228828615,0.584271227,0.25341796,0.551112782,0.38022679,0.526360665,N/A,N/A,N/A,0.239781996,N/A
Xavier-2012,0.6,0.377202707,0.356856911,0.419448248,0.513757071,0.401115855,0.559476209,0.387162141,0.288297152,0.33163229,0.568841837,0.530023218,0.364150099,0.495807873,N/A,N/A,N/A,0.452843095,N/A
Duke-2012,0.066666667,0.686252772,0.531387865,0.596834689,0.619658034,0.447546295,0.384738269,0.384174143,0.293638856,0.328694125,0.538526571,0.610393329,0.481859326,0.778030411,N/A,N/A,N/A,0.359279499,N/A
Lehigh-2012,0.933333333,0.559312639,0.555061327,0.473626783,0.461694684,0.758915285,0.547161389,0.274507467,0.478824385,0.375661474,0.484066347,0.425700082,0.478048417,0.689214154,N/A,N/A,N/A,0.300850979,N/A
Michigan St-2012,0,0.587087175,0.648800722,0.557249946,0.720203625,0.454933969,0.685744222,0.485394571,0.484501108,0.407288506,0.56711945,0.273312197,0.226242431,0.689214154,N/A,N/A,N/A,0.534675385,N/A
LIU-2012,1,0.548605438,0.382240207,0.594704898,0.594184831,0.585300879,0.291712281,0.247057524,0.211180014,0.250736242,0.194074485,0.70923794,0.60135278,0.655535029,N/A,N/A,N/A,0.634439288,N/A
Memphis-2012,0.466666667,0.570924262,0.600769016,0.639545924,0.465642511,0.508784521,0.440617761,0.636416421,0.534102638,0.394181195,0.625819395,0.359274682,0.246938217,0.655535029,N/A,N/A,N/A,0.434095071,N/A
Saint Louis-2012,0.533333333,0.53495157,0.619130872,0.543453514,0.479480013,0.519939017,0.600715115,0.352769455,0.442665945,0.445416616,0.537094403,0.243383852,0.312737016,0.715787978,N/A,N/A,N/A,0.373761593,N/A
New Mexico-2012,0.266666667,0.553711051,0.640310637,0.589301733,0.587261053,0.504320289,0.68632214,0.337852869,0.3934705,0.425189666,0.543939786,0.257263014,0.295808621,0.725024869,N/A,N/A,N/A,0.54349409,N/A
Lg Beach St-2012,0.733333333,0.546213094,0.519141477,0.553079542,0.606594681,0.332096648,0.489097086,0.248830871,0.383833607,0.356059271,0.347385821,0.45828834,0.48999714,0.621003268,N/A,N/A,N/A,0.465662947,N/A
Louisville-2012,0.2,0.328226748,0.47891962,0.308268941,0.669930829,0.3859472,0.339651276,0.524914971,0.663186748,0.267875335,0.521454123,0.271676919,0.215680058,0.623845389,N/A,N/A,N/A,0.624517325,N/A
Davidson-2012,0.8,0.626852608,0.5318154,0.494122091,0.623203705,0.73767268,0.709344885,0.345872783,0.191310638,0.382397605,0.723187866,0.543598784,0.497650043,0.679124627,N/A,N/A,N/A,0.337861593,N/A
Murray St-2012,0.333333333,0.605759132,0.604701968,0.671655414,0.632349393,0.571762216,0.325569813,0.472384424,0.538442666,0.234084576,0.587724999,0.38078169,0.413474331,0.949268154,N/A,N/A,N/A,0.59890704,N/A
Colorado St-2012,0.666666667,0.557620492,0.326556819,0.605757781,0.392135178,0.738605262,0.55420447,0.154287733,0.225493646,0.299615564,0.686128163,0.78375693,0.688350927,0.495807873,N/A,N/A,N/A,0.457726848,N/A
Marquette-2012,0.133333333,0.515462714,0.539909766,0.468029523,0.597398724,0.541530327,0.194133429,0.327428516,0.579516421,0.46456727,0.46359329,0.406846087,0.397018414,0.689214154,N/A,N/A,N/A,0.455012835,N/A
Florida-2012,0.4,0.726193255,0.568314588,0.668827933,0.662115606,0.550369586,0.5284049,0.671305644,0.484103484,0.515116088,0.376420338,0.286732515,0.269567434,0.600397897,N/A,N/A,N/A,0.296996933,N/A
Virginia-2012,0.6,0.490722371,0.529860741,0.473752682,0.800963163,0.557043633,0.752890764,0.306205397,0.425711917,0.391304886,0.437845818,0.196015994,0.303971303,0.58746625,N/A,N/A,N/A,0.443825803,N/A
Missouri-2012,0.066666667,0.880091026,0.686160736,0.825005639,0.544176788,0.717111265,0.61078874,0.349921132,0.575946261,0.655424317,0.204844133,0.563539514,0.476052818,0.827767515,N/A,N/A,N/A,0.218319959,N/A
Norfolk St-2012,0.933333333,0.294938149,0.33046644,0.414643103,0.559083353,0.267342992,0.419728144,0.482605481,0.344083856,0.181838426,0.616084441,0.475641605,0.370466386,0.633224385,N/A,N/A,N/A,0.633431646,N/A
Syracuse-2012,0,0.654072821,0.675140592,0.526074207,0.695239819,0.422690946,0.138347907,0.817970546,0.745283498,0.619584884,0.309764607,0.313086708,0.284705385,0.913883757,N/A,N/A,N/A,0.230838255,N/A
NC-Asheville-2012,1,0.640098028,0.433291317,0.563896364,0.564066731,0.74795136,0.254810109,0.178194638,0.497538113,0.387878057,0.478060075,0.721209278,0.743456799,0.573681967,N/A,N/A,N/A,0.471341046,N/A
Kansas St-2012,0.466666667,0.428959038,0.47903476,0.389337404,0.808741521,0.320925933,0.388459496,0.545487253,0.291856314,0.301465062,0.723074302,0.388599284,0.39546421,0.541566008,N/A,N/A,N/A,0.613219967,N/A
S Mississippi-2012,0.533333333,0.503325942,0.382269901,0.232267913,0.671747232,0.607277386,0.597576504,0.311326529,0.281288811,0.310199146,0.692494054,0.627070403,0.68162433,0.633224385,N/A,N/A,N/A,0.25271953,N/A
Vanderbilt-2012,0.266666667,0.583148559,0.483097094,0.647912962,0.540312743,0.462690622,0.392716355,0.417188372,0.290957852,0.290104568,0.383044902,0.554283289,0.465322591,0.555918715,N/A,N/A,N/A,0.518884092,N/A
Harvard-2012,0.733333333,0.486492006,0.54947702,0.557438795,0.481390252,0.660629209,0.708010506,0.529631707,0.340060236,0.320714686,0.436968852,0.282340724,0.340501324,0.804035811,N/A,N/A,N/A,0.565860798,N/A
Wisconsin-2012,0.2,0.533638698,0.601456828,0.41773812,0.490153892,0.617908826,0.626195186,0.401887133,0.263978613,0.517188268,0.374666406,0.224436709,0.123888744,0.644734972,N/A,N/A,N/A,0.155007686,N/A
Montana-2012,0.8,0.496003034,0.519176322,0.572279139,0.519893295,0.534746804,0.454450203,0.407923093,0.427928461,0.367366569,0.622027621,0.391021152,0.338225969,0.705982663,N/A,N/A,N/A,0.443553666,N/A
Cincinnati-2012,0.333333333,0.468607772,0.479567739,0.325879064,0.689204134,0.242422768,0.318244821,0.480344373,0.57848429,0.458981663,0.333758147,0.417313245,0.424820023,0.612476908,N/A,N/A,N/A,0.254359706,N/A
